Team 1,Team 2,Pitch,Runs Left,Balls Left,Wickets Remaining,Total Runs Scored,Current Run Rate,Required Run Rate,Winner
Pakistan,West Indies,2,62,36,8,160,7.071428571,10.33333333,1
Sri Lanka,Afghanistan,1,24,42,6,120,7.461538462,3.428571429,1
New Zealand,India,3,183,97,9,212,7.826086957,11.31958763,0
India,Australia,3,73,47,8,180,8.876712329,9.319148936,1
New Zealand,Afghanistan,2,28,8,1,150,6.589285714,21,0
India,Sri Lanka,2,120,84,8,168,8.166666667,8.571428571,1
New Zealand,Australia,2,67,29,5,164,6.461538462,13.86206897,0
India,West Indies,2,127,102,10,155,9.666666667,7.470588235,1
Afghanistan,India,3,114,68,8,174,7.038461538,10.05882353,0
Afghanistan,Pakistan,3,115,70,7,175,7.32,9.857142857,1
Pakistan,Australia,3,153,103,10,185,11.64705882,8.912621359,1
Australia,India,2,82,43,5,169,6.857142857,11.44186047,1
Afghanistan,Pakistan,1,19,8,3,145,6.803571429,14.25,0
West Indies,New Zealand,1,78,77,9,132,7.674418605,6.077922078,1
England,India,3,213,111,10,230,12,11.51351351,0
Afghanistan,India,3,90,21,3,206,7.090909091,25.71428571,0
England,India,2,22,25,8,151,8.210526316,5.28,1
Afghanistan,Pakistan,3,24,24,6,175,9.5,6,1
Afghanistan,Pakistan,1,36,22,7,148,6.918367347,9.818181818,1
New Zealand,Pakistan,1,101,81,10,136,5.538461538,7.481481481,0
Afghanistan,Australia,3,161,87,8,218,10.54545455,11.10344828,0
Afghanistan,India,1,63,91,10,92,6.206896552,4.153846154,1
Australia,India,3,103,61,8,187,8.644067797,10.13114754,0
England,West Indies,2,141,111,10,150,6.666666667,7.621621622,0
England,Pakistan,3,187,64,4,233,5.035714286,17.53125,0
Sri Lanka,Afghanistan,3,146,110,10,172,16.2,7.963636364,1
Afghanistan,India,3,111,42,4,206,7.384615385,15.85714286,0
Afghanistan,Sri Lanka,2,98,61,8,165,6.915254237,9.639344262,1
Australia,New Zealand,1,56,40,8,140,6.375,8.4,1
West Indies,Afghanistan,2,117,79,7,168,7.609756098,8.886075949,1
Sri Lanka,Australia,1,89,99,10,120,9.142857143,5.393939394,1
Australia,India,3,69,14,3,202,7.58490566,29.57142857,0
Pakistan,India,2,55,69,10,154,11.76470588,4.782608696,1
England,Pakistan,3,144,31,4,233,6.06741573,27.87096774,0
Afghanistan,West Indies,3,119,69,10,171,6.235294118,10.34782609,0
Pakistan,Sri Lanka,2,45,13,3,170,7.065420561,20.76923077,0
Afghanistan,Australia,2,31,14,4,163,7.528301887,13.28571429,0
New Zealand,Pakistan,3,67,26,5,201,8.617021277,15.46153846,0
New Zealand,Pakistan,1,105,76,7,141,5.045454545,8.289473684,1
New Zealand,England,3,166,100,10,190,7.5,9.96,1
Afghanistan,West Indies,3,194,119,10,193,0,9.781512605,1
Sri Lanka,New Zealand,2,58,23,5,161,6.432989691,15.13043478,0
New Zealand,Afghanistan,2,104,75,9,152,6.533333333,8.32,1
New Zealand,India,3,117,80,9,177,9.15,8.775,1
Australia,New Zealand,1,73,61,8,148,7.728813559,7.180327869,1
Australia,Afghanistan,2,150,117,10,154,10,7.692307692,1
England,Afghanistan,3,61,33,7,191,9.034482759,11.09090909,0
Pakistan,Sri Lanka,1,49,51,8,143,8.260869565,5.764705882,1
West Indies,Sri Lanka,2,8,3,2,157,7.692307692,16,0
India,Sri Lanka,2,46,50,9,156,9.514285714,5.52,1
India,Sri Lanka,1,117,113,9,119,2.571428571,6.212389381,0
England,West Indies,3,166,51,2,222,4.956521739,19.52941176,0
Australia,Pakistan,1,80,67,8,147,7.698113208,7.164179104,1
Sri Lanka,Afghanistan,1,45,39,7,120,5.62962963,6.923076923,1
England,Sri Lanka,1,112,95,8,138,6.48,7.073684211,0
India,Australia,3,51,8,2,187,7.339285714,38.25,0
West Indies,India,3,40,8,7,182,7.660714286,30,0
Sri Lanka,New Zealand,3,103,46,7,191,7.216216216,13.43478261,1
England,Australia,1,65,50,7,129,5.571428571,7.8,1
Australia,Pakistan,3,167,100,8,190,7.2,10.02,0
Sri Lanka,England,3,145,87,9,213,12.54545455,10,0
